DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RETURN
2017-12-31,1M,Equity Common Stock,ZION.OQ,0.2304307
2017-12-31,1M,Equity Common Stock,CB.N,0.1934464
2017-12-31,1M,Equity Common Stock,JCI.N,-0.0043594
2017-12-31,1M,Equity Common Stock,RCL.N,0.1681129
2017-12-31,1M,Equity Common Stock,AMT.N,0.2135131
2017-12-31,1M,Equity Common Stock,MCO.N,0.2481775
2017-12-31,1M,Equity Common Stock,DGX.N,0.2186930
2017-12-31,1M,Equity Common Stock,SRCL.OQ,-0.2390199
2017-12-31,1M,Equity Common Stock,PLD.N,0.2363727
2017-12-31,1M,Equity Common Stock,URI.N,0.1761234
2017-12-31,1M,Equity Common Stock,CNP.N,0.1333243
2017-12-31,1M,Equity Common Stock,NWL.N,-0.0425161
2017-12-31,1M,Equity Common Stock,VAR.N,0.2161751
2017-12-31,1M,Equity Common Stock,BXP.N,0.0357756
2017-12-31,1M,Equity Common Stock,ESS.N,0.1136273
2017-12-31,1M,Equity Common Stock,ARE.N,0.2315916
2017-12-31,1M,Equity Common Stock,CHRW.OQ,0.1109837
2017-12-31,1M,Equity Common Stock,DISH.OQ,-0.1713574
2017-12-31,1M,Equity Common Stock,LLL.N,0.2345226
2017-12-31,1M,Equity Common Stock,MTD.N,0.3676253
2017-12-31,1M,Equity Common Stock,IRM.N,0.0211311
2017-12-31,1M,Equity Common Stock,SLG.N,-0.0401332
2017-12-31,1M,Equity Common Stock,NI.N,0.2699939
2017-12-31,1M,Equity Common Stock,SWKS.OQ,0.1237489
2017-12-31,1M,Equity Common Stock,BAC.N,0.2087899
2017-12-31,1M,Equity Common Stock,AMZN.OQ,0.5197429
2017-12-31,1M,Equity Common Stock,NOV.N,-0.1528210
2017-12-31,1M,Equity Common Stock,RL.N,-0.1449549
2017-12-31,1M,Equity Common Stock,LNT.N,0.1752159
2017-12-31,1M,Equity Common Stock,CTL.N,-0.2262422
2017-12-31,1M,Equity Common Stock,CTSH.OQ,0.1536531
2017-12-31,1M,Equity Common Stock,CCI.N,0.2259585
2017-12-31,1M,Equity Common Stock,EBAY.OQ,0.1947665
2017-12-31,1M,Equity Common Stock,GS.N,0.1397809
2017-12-31,1M,Equity Common Stock,NVDA.OQ,0.6257390
2017-12-31,1M,Equity Common Stock,BKNG.OQ,0.1803374
2017-12-31,1M,Equity Common Stock,RSG.N,0.5077478
2017-12-31,1M,Equity Common Stock,UNM.N,0.2132445
2017-12-31,1M,Equity Common Stock,COST.OQ,0.2020119
2017-12-31,1M,Equity Common Stock,DVN.N,-0.0049003
2017-12-31,1M,Equity Common Stock,PKI.N,0.3005757
2017-12-31,1M,Equity Common Stock,TTWO.OQ,0.5124682
2017-12-31,1M,Equity Common Stock,AKAM.OQ,0.0577673
2017-12-31,1M,Equity Common Stock,UPS.N,0.0668870
2017-12-31,1M,Equity Common Stock,JNPR.N,0.1257104
2017-12-31,1M,Equity Common Stock,RHT.N,0.2592702
2017-12-31,1M,Equity Common Stock,FLIR.OQ,0.1947400
2017-12-31,1M,Equity Common Stock,EW.N,0.2262451
2017-12-31,1M,Equity Common Stock,A.N,0.2522761
2017-12-31,1M,Equity Common Stock,BLK.N,0.2029716
2017-12-31,1M,Equity Common Stock,FFIV.OQ,0.0329168
2017-12-31,1M,Equity Common Stock,MET.N,0.0529823
2017-12-31,1M,Equity Common Stock,PKG.N,0.1879009
2017-12-31,1M,Equity Common Stock,SBAC.OQ,0.1963755
