DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_COST
2017-12-31,1M,Equity Common Stock,CL.N,2.00%
2017-12-31,1M,Equity Common Stock,CMA.N,2.00%
2017-12-31,1M,Equity Common Stock,CA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DXC.N,2.00%
2017-12-31,1M,Equity Common Stock,CAG.N,2.00%
2017-12-31,1M,Equity Common Stock,ED.N,2.00%
2017-12-31,1M,Equity Common Stock,COO.N,2.00%
2017-12-31,1M,Equity Common Stock,TAP.N,2.00%
2017-12-31,1M,Equity Common Stock,CPRT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GLW.N,2.00%
2017-12-31,1M,Equity Common Stock,CMI.N,2.00%
2017-12-31,1M,Equity Common Stock,DHI.N,2.00%
2017-12-31,1M,Equity Common Stock,DTE.N,2.00%
2017-12-31,1M,Equity Common Stock,DHR.N,2.00%
2017-12-31,1M,Equity Common Stock,DRI.N,2.00%
2017-12-31,1M,Equity Common Stock,TGT.N,2.00%
2017-12-31,1M,Equity Common Stock,DE.N,2.00%
2017-12-31,1M,Equity Common Stock,XRAY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,DIS.N,2.00%
2017-12-31,1M,Equity Common Stock,DLTR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,D.N,2.00%
2017-12-31,1M,Equity Common Stock,DOV.N,2.00%
2017-12-31,1M,Equity Common Stock,DUK.N,2.00%
2017-12-31,1M,Equity Common Stock,DRE.N,2.00%
2017-12-31,1M,Equity Common Stock,ETFC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EMN.N,2.00%
2017-12-31,1M,Equity Common Stock,ETN.N,2.00%
2017-12-31,1M,Equity Common Stock,ECL.N,2.00%
2017-12-31,1M,Equity Common Stock,EIX.N,2.00%
2017-12-31,1M,Equity Common Stock,EA.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EMR.N,2.00%
2017-12-31,1M,Equity Common Stock,EOG.N,2.00%
2017-12-31,1M,Equity Common Stock,ETR.N,2.00%
2017-12-31,1M,Equity Common Stock,EFX.N,2.00%
2017-12-31,1M,Equity Common Stock,EQT.N,2.00%
2017-12-31,1M,Equity Common Stock,EQR.N,2.00%
2017-12-31,1M,Equity Common Stock,RE.N,2.00%
2017-12-31,1M,Equity Common Stock,EXPD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ESRX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,XOM.N,2.00%
2017-12-31,1M,Equity Common Stock,FMC.N,2.00%
2017-12-31,1M,Equity Common Stock,NEE.N,2.00%
2017-12-31,1M,Equity Common Stock,FAST.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FDX.N,2.00%
2017-12-31,1M,Equity Common Stock,FRT.N,2.00%
2017-12-31,1M,Equity Common Stock,M.N,2.00%
2017-12-31,1M,Equity Common Stock,FITB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FISV.OQ,2.00%
2017-12-31,1M,Equity Common Stock,FE.N,2.00%
2017-12-31,1M,Equity Common Stock,FLS.N,2.00%
2017-12-31,1M,Equity Common Stock,BEN.N,2.00%
2017-12-31,1M,Equity Common Stock,FCX.N,2.00%
2017-12-31,1M,Equity Common Stock,AJG.N,2.00%
2017-12-31,1M,Equity Common Stock,GPS.N,2.00%
2017-12-31,1M,Equity Common Stock,IT.N,2.00%
2017-12-31,1M,Equity Common Stock,GD.N,2.00%
2017-12-31,1M,Equity Common Stock,GE.N,2.00%
2017-12-31,1M,Equity Common Stock,GIS.N,2.00%
2017-12-31,1M,Equity Common Stock,GPC.N,2.00%
2017-12-31,1M,Equity Common Stock,GILD.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,GWW.N,2.00%
2017-12-31,1M,Equity Common Stock,HAL.N,2.00%
2017-12-31,1M,Equity Common Stock,HOG.N,2.00%
2017-12-31,1M,Equity Common Stock,HRS.N,2.00%
2017-12-31,1M,Equity Common Stock,HIG.N,2.00%
2017-12-31,1M,Equity Common Stock,HAS.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HCP.N,2.00%
2017-12-31,1M,Equity Common Stock,WELL.N,2.00%
2017-12-31,1M,Equity Common Stock,HP.N,2.00%
2017-12-31,1M,Equity Common Stock,HSY.N,2.00%
2017-12-31,1M,Equity Common Stock,HPQ.N,2.00%
2017-12-31,1M,Equity Common Stock,HFC.N,2.00%
2017-12-31,1M,Equity Common Stock,HOLX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HD.N,2.00%
2017-12-31,1M,Equity Common Stock,HRL.N,2.00%
2017-12-31,1M,Equity Common Stock,HST.N,2.00%
2017-12-31,1M,Equity Common Stock,HUM.N,2.00%
2017-12-31,1M,Equity Common Stock,JBHT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,HBAN.OQ,2.00%
2017-12-31,1M,Equity Common Stock,BIIB.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MOS.N,2.00%
2017-12-31,1M,Equity Common Stock,IDXX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,ITW.N,2.00%
2017-12-31,1M,Equity Common Stock,INCY.OQ,2.00%
2017-12-31,1M,Equity Common Stock,IR.N,2.00%
2017-12-31,1M,Equity Common Stock,NKTR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,INTC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,IBM.N,2.00%
2017-12-31,1M,Equity Common Stock,IFF.N,2.00%
2017-12-31,1M,Equity Common Stock,IP.N,2.00%
2017-12-31,1M,Equity Common Stock,IPG.N,2.00%
2017-12-31,1M,Equity Common Stock,INTU.OQ,2.00%
2017-12-31,1M,Equity Common Stock,JEC.N,2.00%
2017-12-31,1M,Equity Common Stock,JNJ.N,2.00%
2017-12-31,1M,Equity Common Stock,KLAC.OQ,2.00%
2017-12-31,1M,Equity Common Stock,KSU.N,2.00%
2017-12-31,1M,Equity Common Stock,K.N,2.00%
2017-12-31,1M,Equity Common Stock,KEY.N,2.00%
2017-12-31,1M,Equity Common Stock,KMB.N,2.00%
2017-12-31,1M,Equity Common Stock,KIM.N,2.00%
2017-12-31,1M,Equity Common Stock,KSS.N,2.00%
2017-12-31,1M,Equity Common Stock,KR.N,2.00%
2017-12-31,1M,Equity Common Stock,LH.N,2.00%
2017-12-31,1M,Equity Common Stock,LRCX.OQ,2.00%
2017-12-31,1M,Equity Common Stock,EL.N,2.00%
2017-12-31,1M,Equity Common Stock,LEG.N,2.00%
2017-12-31,1M,Equity Common Stock,LEN.N,2.00%
2017-12-31,1M,Equity Common Stock,JEF.N,2.00%
2017-12-31,1M,Equity Common Stock,LLY.N,2.00%
2017-12-31,1M,Equity Common Stock,LB.N,2.00%
2017-12-31,1M,Equity Common Stock,LNC.N,2.00%
2017-12-31,1M,Equity Common Stock,LMT.N,2.00%
2017-12-31,1M,Equity Common Stock,L.N,2.00%
2017-12-31,1M,Equity Common Stock,LOW.N,2.00%
2017-12-31,1M,Equity Common Stock,MTB.N,2.00%
2017-12-31,1M,Equity Common Stock,MGM.N,2.00%
2017-12-31,1M,Equity Common Stock,MAC.N,2.00%
2017-12-31,1M,Equity Common Stock,MMC.N,2.00%
2017-12-31,1M,Equity Common Stock,MAR.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MLM.N,2.00%
2017-12-31,1M,Equity Common Stock,MAS.N,2.00%
2017-12-31,1M,Equity Common Stock,MAT.OQ,2.00%
2017-12-31,1M,Equity Common Stock,MKC.N,2.00%
2017-12-31,1M,Equity Common Stock,MCD.N,2.00%
2017-12-31,1M,Equity Common Stock,SPGI.N,2.00%
