DATE,HORIZON,ASSET_TYPE,ASSET,EXPECTED_RISK
2017-12-31,1M,Equity Common Stock,ORLY.OQ,5.42%
2017-12-31,1M,Equity Common Stock,EXC.N,4.99%
2017-12-31,1M,Equity Common Stock,PCG.N,5.89%
2017-12-31,1M,Equity Common Stock,PNC.N,5.37%
2017-12-31,1M,Equity Common Stock,PPL.N,4.60%
2017-12-31,1M,Equity Common Stock,PPG.N,6.04%
2017-12-31,1M,Equity Common Stock,PCAR.OQ,6.06%
2017-12-31,1M,Equity Common Stock,PH.N,5.33%
2017-12-31,1M,Equity Common Stock,PAYX.OQ,4.76%
2017-12-31,1M,Equity Common Stock,PNR.N,6.68%
2017-12-31,1M,Equity Common Stock,PBCT.OQ,5.40%
2017-12-31,1M,Equity Common Stock,PEP.OQ,3.31%
2017-12-31,1M,Equity Common Stock,PRGO.N,7.35%
2017-12-31,1M,Equity Common Stock,PFE.N,4.74%
2017-12-31,1M,Equity Common Stock,MO.N,5.35%
2017-12-31,1M,Equity Common Stock,COP.N,8.86%
2017-12-31,1M,Equity Common Stock,PVH.N,8.33%
2017-12-31,1M,Equity Common Stock,PNW.N,4.70%
2017-12-31,1M,Equity Common Stock,PXD.N,8.51%
2017-12-31,1M,Equity Common Stock,PX.N,4.80%
2017-12-31,1M,Equity Common Stock,TROW.OQ,5.79%
2017-12-31,1M,Equity Common Stock,PG.N,3.56%
2017-12-31,1M,Equity Common Stock,PGR.N,4.35%
2017-12-31,1M,Equity Common Stock,PEG.N,4.36%
2017-12-31,1M,Equity Common Stock,PSA.N,5.17%
2017-12-31,1M,Equity Common Stock,PHM.N,6.62%
2017-12-31,1M,Equity Common Stock,QCOM.OQ,9.78%
2017-12-31,1M,Equity Common Stock,PWR.N,7.29%
2017-12-31,1M,Equity Common Stock,RJF.N,8.07%
2017-12-31,1M,Equity Common Stock,O.N,6.21%
2017-12-31,1M,Equity Common Stock,REGN.OQ,9.64%
2017-12-31,1M,Equity Common Stock,REG.N,5.36%
2017-12-31,1M,Equity Common Stock,RMD.N,6.46%
2017-12-31,1M,Equity Common Stock,RHI.N,7.66%
2017-12-31,1M,Equity Common Stock,ROK.N,5.25%
2017-12-31,1M,Equity Common Stock,ROL.N,4.56%
2017-12-31,1M,Equity Common Stock,ROP.N,5.14%
2017-12-31,1M,Equity Common Stock,ROST.OQ,6.33%
2017-12-31,1M,Equity Common Stock,T.N,5.21%
2017-12-31,1M,Equity Common Stock,TRV.N,4.89%
2017-12-31,1M,Equity Common Stock,SCG.N,6.00%
2017-12-31,1M,Equity Common Stock,HSIC.OQ,5.09%
2017-12-31,1M,Equity Common Stock,SLB.N,6.08%
2017-12-31,1M,Equity Common Stock,SCHW.N,9.04%
2017-12-31,1M,Equity Common Stock,SEE.N,5.53%
2017-12-31,1M,Equity Common Stock,SRE.N,4.48%
2017-12-31,1M,Equity Common Stock,SHW.N,6.40%
2017-12-31,1M,Equity Common Stock,SIVB.OQ,9.29%
2017-12-31,1M,Equity Common Stock,SPG.N,5.50%
2017-12-31,1M,Equity Common Stock,AOS.N,5.67%
2017-12-31,1M,Equity Common Stock,SNA.N,4.86%
2017-12-31,1M,Equity Common Stock,SO.N,4.28%
2017-12-31,1M,Equity Common Stock,LUV.N,8.23%
2017-12-31,1M,Equity Common Stock,SWK.N,4.81%
2017-12-31,1M,Equity Common Stock,USB.N,4.28%
2017-12-31,1M,Equity Common Stock,SBUX.OQ,4.69%
2017-12-31,1M,Equity Common Stock,STT.N,7.08%
2017-12-31,1M,Equity Common Stock,SYK.N,3.77%
2017-12-31,1M,Equity Common Stock,STI.N,6.60%
2017-12-31,1M,Equity Common Stock,SYMC.OQ,7.93%
2017-12-31,1M,Equity Common Stock,SNPS.OQ,5.08%
2017-12-31,1M,Equity Common Stock,SYY.N,4.35%
2017-12-31,1M,Equity Common Stock,TJX.N,3.85%
2017-12-31,1M,Equity Common Stock,TXN.OQ,5.24%
2017-12-31,1M,Equity Common Stock,TXT.N,5.91%
2017-12-31,1M,Equity Common Stock,TMO.N,4.91%
2017-12-31,1M,Equity Common Stock,TIF.N,8.00%
2017-12-31,1M,Equity Common Stock,TMK.N,4.27%
2017-12-31,1M,Equity Common Stock,DVA.N,6.43%
2017-12-31,1M,Equity Common Stock,TSS.N,6.69%
2017-12-31,1M,Equity Common Stock,TSCO.OQ,7.50%
2017-12-31,1M,Equity Common Stock,C.N,7.15%
2017-12-31,1M,Equity Common Stock,YUM.N,5.39%
2017-12-31,1M,Equity Common Stock,TSN.N,7.31%
2017-12-31,1M,Equity Common Stock,MRO.N,15.75%
2017-12-31,1M,Equity Common Stock,WM.N,3.98%
2017-12-31,1M,Equity Common Stock,UNP.N,6.24%
2017-12-31,1M,Equity Common Stock,UDR.N,4.51%
2017-12-31,1M,Equity Common Stock,UNH.N,4.21%
2017-12-31,1M,Equity Common Stock,UTX.N,4.77%
2017-12-31,1M,Equity Common Stock,UHS.N,6.56%
2017-12-31,1M,Equity Common Stock,VFC.N,4.83%
2017-12-31,1M,Equity Common Stock,VLO.N,7.17%
2017-12-31,1M,Equity Common Stock,VTR.N,5.63%
2017-12-31,1M,Equity Common Stock,FL.N,11.40%
2017-12-31,1M,Equity Common Stock,VRSN.OQ,6.93%
2017-12-31,1M,Equity Common Stock,VRTX.OQ,10.49%
2017-12-31,1M,Equity Common Stock,VNO.N,5.55%
2017-12-31,1M,Equity Common Stock,VMC.N,5.77%
2017-12-31,1M,Equity Common Stock,WMT.N,5.05%
2017-12-31,1M,Equity Common Stock,WBA.OQ,5.88%
2017-12-31,1M,Equity Common Stock,WAT.N,5.72%
2017-12-31,1M,Equity Common Stock,AGN.N,8.11%
2017-12-31,1M,Equity Common Stock,WDC.OQ,10.22%
2017-12-31,1M,Equity Common Stock,EVRG.N,5.04%
2017-12-31,1M,Equity Common Stock,WY.N,6.09%
2017-12-31,1M,Equity Common Stock,WHR.N,8.08%
2017-12-31,1M,Equity Common Stock,WMB.N,11.17%
2017-12-31,1M,Equity Common Stock,WEC.N,4.85%
2017-12-31,1M,Equity Common Stock,XLNX.OQ,6.41%
2017-12-31,1M,Equity Common Stock,XRX.N,7.32%
2017-12-31,1M,Equity Common Stock,ZION.OQ,8.56%
2017-12-31,1M,Equity Common Stock,CB.N,3.83%
2017-12-31,1M,Equity Common Stock,JCI.N,5.90%
2017-12-31,1M,Equity Common Stock,RCL.N,8.08%
2017-12-31,1M,Equity Common Stock,AMT.N,5.47%
2017-12-31,1M,Equity Common Stock,MCO.N,5.44%
2017-12-31,1M,Equity Common Stock,DGX.N,5.62%
2017-12-31,1M,Equity Common Stock,SRCL.OQ,6.60%
2017-12-31,1M,Equity Common Stock,PLD.N,5.37%
2017-12-31,1M,Equity Common Stock,URI.N,13.36%
2017-12-31,1M,Equity Common Stock,CNP.N,4.84%
2017-12-31,1M,Equity Common Stock,NWL.N,7.27%
2017-12-31,1M,Equity Common Stock,VAR.N,5.47%
2017-12-31,1M,Equity Common Stock,BXP.N,5.06%
2017-12-31,1M,Equity Common Stock,ESS.N,4.78%
2017-12-31,1M,Equity Common Stock,ARE.N,5.23%
2017-12-31,1M,Equity Common Stock,CHRW.OQ,5.85%
2017-12-31,1M,Equity Common Stock,DISH.OQ,5.83%
2017-12-31,1M,Equity Common Stock,LLL.N,6.09%
2017-12-31,1M,Equity Common Stock,MTD.N,5.93%
2017-12-31,1M,Equity Common Stock,IRM.N,6.48%
2017-12-31,1M,Equity Common Stock,SLG.N,6.39%
2017-12-31,1M,Equity Common Stock,NI.N,4.89%
2017-12-31,1M,Equity Common Stock,SWKS.OQ,9.26%
2017-12-31,1M,Equity Common Stock,BAC.N,8.28%
2017-12-31,1M,Equity Common Stock,AMZN.OQ,7.75%
2017-12-31,1M,Equity Common Stock,NOV.N,8.50%
2017-12-31,1M,Equity Common Stock,RL.N,8.51%
2017-12-31,1M,Equity Common Stock,LNT.N,4.54%
2017-12-31,1M,Equity Common Stock,CTL.N,8.80%
2017-12-31,1M,Equity Common Stock,CTSH.OQ,6.97%
2017-12-31,1M,Equity Common Stock,CCI.N,4.72%
2017-12-31,1M,Equity Common Stock,EBAY.OQ,8.37%
2017-12-31,1M,Equity Common Stock,GS.N,7.21%
2017-12-31,1M,Equity Common Stock,NVDA.OQ,11.27%
2017-12-31,1M,Equity Common Stock,BKNG.OQ,8.39%
2017-12-31,1M,Equity Common Stock,RSG.N,2.94%
2017-12-31,1M,Equity Common Stock,UNM.N,7.09%
2017-12-31,1M,Equity Common Stock,COST.OQ,5.48%
2017-12-31,1M,Equity Common Stock,DVN.N,14.46%
2017-12-31,1M,Equity Common Stock,PKI.N,5.23%
2017-12-31,1M,Equity Common Stock,TTWO.OQ,8.14%
2017-12-31,1M,Equity Common Stock,AKAM.OQ,10.43%
2017-12-31,1M,Equity Common Stock,UPS.N,4.13%
2017-12-31,1M,Equity Common Stock,JNPR.N,7.59%
2017-12-31,1M,Equity Common Stock,RHT.N,6.85%
2017-12-31,1M,Equity Common Stock,FLIR.OQ,6.17%
2017-12-31,1M,Equity Common Stock,EW.N,8.68%
2017-12-31,1M,Equity Common Stock,A.N,6.19%
2017-12-31,1M,Equity Common Stock,BLK.N,5.76%
2017-12-31,1M,Equity Common Stock,FFIV.OQ,6.22%
2017-12-31,1M,Equity Common Stock,MET.N,6.97%
2017-12-31,1M,Equity Common Stock,PKG.N,8.18%
2017-12-31,1M,Equity Common Stock,SBAC.OQ,6.61%
2017-12-31,1M,Equity Common Stock,F.N,4.94%
2017-12-31,1M,Equity Common Stock,AET.N,6.51%
2017-12-31,1M,Equity Common Stock,FLR.N,7.19%
2017-12-31,1M,Equity Common Stock,GPN.N,6.16%
2017-12-31,1M,Equity Common Stock,TPR.N,6.94%
2017-12-31,1M,Equity Common Stock,RTN.N,5.04%
2017-12-31,1M,Equity Common Stock,ALGN.OQ,8.25%
2017-12-31,1M,Equity Common Stock,ANSS.OQ,5.30%
2017-12-31,1M,Equity Common Stock,KMX.N,7.82%
2017-12-31,1M,Equity Common Stock,ILMN.OQ,11.48%
2017-12-31,1M,Equity Common Stock,ISRG.OQ,5.36%
2017-12-31,1M,Equity Common Stock,FIS.N,5.15%
2017-12-31,1M,Equity Common Stock,COL.N,5.98%
2017-12-31,1M,Equity Common Stock,ZBH.N,6.48%
2017-12-31,1M,Equity Common Stock,ACN.N,4.78%
2017-12-31,1M,Equity Common Stock,ADS.N,8.29%
2017-12-31,1M,Equity Common Stock,ANTM.N,6.09%
2017-12-31,1M,Equity Common Stock,IVZ.N,7.97%
2017-12-31,1M,Equity Common Stock,EQIX.OQ,4.95%
2017-12-31,1M,Equity Common Stock,GRMN.OQ,7.16%
2017-12-31,1M,Equity Common Stock,MNST.OQ,7.21%
2017-12-31,1M,Equity Common Stock,MDLZ.OQ,4.94%
2017-12-31,1M,Equity Common Stock,PFG.OQ,6.50%
2017-12-31,1M,Equity Common Stock,WLTW.OQ,4.72%
2017-12-31,1M,Equity Common Stock,AAP.N,8.69%
2017-12-31,1M,Equity Common Stock,CNC.N,9.03%
2017-12-31,1M,Equity Common Stock,PRU.N,6.93%
2017-12-31,1M,Equity Common Stock,NFLX.OQ,12.14%
2017-12-31,1M,Equity Common Stock,SJM.N,6.02%
2017-12-31,1M,Equity Common Stock,NDAQ.OQ,4.85%
2017-12-31,1M,Equity Common Stock,XEC.N,8.36%
2017-12-31,1M,Equity Common Stock,WYNN.OQ,12.57%
2017-12-31,1M,Equity Common Stock,CMCSA.OQ,5.64%
2017-12-31,1M,Equity Common Stock,CME.OQ,4.63%
2017-12-31,1M,Equity Common Stock,STX.OQ,13.27%
2017-12-31,1M,Equity Common Stock,LKQ.OQ,5.43%
2017-12-31,1M,Equity Common Stock,NRG.N,13.12%
2017-12-31,1M,Equity Common Stock,AIZ.N,5.85%
2017-12-31,1M,Equity Common Stock,CBRE.N,8.49%
2017-12-31,1M,Equity Common Stock,CRM.N,7.17%
2017-12-31,1M,Equity Common Stock,RF.N,8.72%
2017-12-31,1M,Equity Common Stock,WCG.N,8.83%
2017-12-31,1M,Equity Common Stock,EXR.N,6.37%
2017-12-31,1M,Equity Common Stock,GOOGL.OQ,5.90%
2017-12-31,1M,Equity Common Stock,DLR.N,5.62%
2017-12-31,1M,Equity Common Stock,FOXA.OQ,8.14%
2017-12-31,1M,Equity Common Stock,FOX.OQ,8.01%
2017-12-31,1M,Equity Common Stock,EXPE.OQ,7.55%
2017-12-31,1M,Equity Common Stock,CF.N,11.67%
2017-12-31,1M,Equity Common Stock,AMP.N,8.61%
2017-12-31,1M,Equity Common Stock,MA.N,4.69%
2017-12-31,1M,Equity Common Stock,ICE.N,5.28%
2017-12-31,1M,Equity Common Stock,UAA.N,9.96%
2017-12-31,1M,Equity Common Stock,CBS.N,6.76%
2017-12-31,1M,Equity Common Stock,VIAB.OQ,11.40%
2017-12-31,1M,Equity Common Stock,CMG.N,9.08%
2017-12-31,1M,Equity Common Stock,UAL.OQ,9.70%
2017-12-31,1M,Equity Common Stock,TDG.N,6.62%
2017-12-31,1M,Equity Common Stock,IPGP.OQ,9.21%
2017-12-31,1M,Equity Common Stock,HBI.N,6.78%
2017-12-31,1M,Equity Common Stock,WU.N,5.16%
2017-12-31,1M,Equity Common Stock,BR.N,4.30%
2017-12-31,1M,Equity Common Stock,DAL.N,7.62%
2017-12-31,1M,Equity Common Stock,TEL.N,4.96%
2017-12-31,1M,Equity Common Stock,DFS.N,7.63%
2017-12-31,1M,Equity Common Stock,CXO.N,8.42%
2017-12-31,1M,Equity Common Stock,ULTA.OQ,6.95%
2017-12-31,1M,Equity Common Stock,MSCI.N,5.73%
2017-12-31,1M,Equity Common Stock,PM.N,5.25%
